CATReporterIMID,actionType,type,symbol,price,quantityside,eventTimestamp,firmDesignatedID,firmROEID,orderID,routedOrderID,parentOrderID,priorRoutedOrderID,orderType,parentOrderKeyDate,accountHolderType,orderKeyDate,leavesQty,senderType,negotiatedTradeFlag,initiator,affiliateFlag,cancelQty,custDspIntrFlag,solicitationFlag,routeRejectedFlag,electronicTimestamp,electronicDupFlag,tradingSession,destination,isoInd,receiverIMID,multiLegInd,priorRoutedOrderID,representativeInd,infoBarrierID,manualFlag,deptType,senderIMID,destinationType,dupROIDCond
CFSX,NEW,MEMRS,XRAY,NULL,NULL,20230210T135651.017,NULL,20230210_O_ad071186-1584-4850-a693-0a9f63f8138c,2315230000000015,2315230000000015.7,NULL,NULL,NULL,NULL,NULL,20230210T135548.327,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,False,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEOC,BOX,NULL,NULL,20230210T135021,NULL,20230210_O_7818c3b6-1ab2-4cc2-b681-b8b4e08d3cc8,2313230000000014,NULL,NULL,NULL,NULL,NULL,NULL,20230210T134755.064,0,NULL,NULL,F,NULL,14998.0,NULL,NULL,NULL,20230210T134755.064,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FI,True,NULL,NULL,NULL,NULL
CFSX,NEW,MEOC,XRAY,NULL,NULL,20230210T135745,NULL,20230210_O_a135a273-c33d-4eb4-a2b5-3e35c06f8734,2313230000000018,NULL,NULL,NULL,NULL,NULL,NULL,20230210T135537.523,0,NULL,NULL,F,NULL,224545.0,NULL,NULL,NULL,20230210T135537.523,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FI,True,NULL,NULL,NULL,NULL
CFSX,NEW,MEORS,B,NULL,NULL,20230210T134016.058,NULL,20230210_O_f61ad540-9d68-4c1c-a67f-6cde3963bb61,2315230000000007,2315230000000007.1,NULL,NULL,NULL,NULL,NULL,20230210T134016.483,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,BNY,NULL,NULL,20230210T133657.283,NULL,20230210_O_af3ece50-ca90-4aa6-8074-db3c16313c36,2315230000000005,2315230000000005.1,NULL,NULL,NULL,NULL,NULL,20230210T133656.807,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,BNY,NULL,NULL,20230210T133947.987,NULL,20230210_O_64cce896-45df-4420-b3df-7226a0f38171,2315230000000006,2315230000000006.1,NULL,NULL,NULL,NULL,NULL,20230210T133947.813,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,DOG,NULL,NULL,20230210T135201.887,NULL,20230210_O_c5107c0c-c1eb-4783-958a-704b5ccae394,2315230000000009,2315230000000009.1,NULL,NULL,NULL,NULL,NULL,20230210T135201.407,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,DOG,NULL,NULL,20230210T135211.487,NULL,20230210_O_34ff3cae-046d-4eb3-a9b6-3f9cecec5582,2315230000000010,2315230000000010.1,NULL,NULL,NULL,NULL,NULL,20230210T135211.357,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,DOG,NULL,NULL,20230210T135220.563,NULL,20230210_O_a6515823-2fcd-4cf2-a86e-bec32e0ae5c5,2315230000000011,2315230000000011.1,NULL,NULL,NULL,NULL,NULL,20230210T135220.487,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
CFSX,NEW,MEORS,DOG,NULL,NULL,20230210T135230.527,NULL,20230210_O_8fa45df2-ae2f-4a3a-960d-823e433fd060,2315230000000012,2315230000000012.1,NULL,NULL,NULL,NULL,NULL,20230210T135230.453,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,NULL,NULL,134:CANT,NULL,NULL,NULL,NULL,NULL,NULL,False,NULL,285841:CFSX,F,NULL
